         11977072 function calls (11799082 primitive calls) in 155.625 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.460    0.153 connectionpool.py:377(_make_request)
        3    0.000    0.000    0.456    0.152 connectionpool.py:1098(_validate_conn)
        3    0.000    0.000    0.454    0.151 connection.py:724(connect)
        3    0.000    0.000    0.451    0.150 _base.py:756(kneighbors)
        3    0.439    0.146    0.450    0.150 _dispatcher.py:184(compute)
    28733    0.030    0.000    0.435    0.000 _local.py:227(__str__)
    25893    0.007    0.000    0.435    0.000 _local.py:166(__fspath__)
        1    0.000    0.000    0.423    0.423 distributions.py:1(<module>)
      723    0.002    0.000    0.420    0.001 __init__.py:548(_assemble_message)
      625    0.001    0.000    0.402    0.001 _docscrape.py:579(__init__)
     3956    0.017    0.000    0.402    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        3    0.000    0.000    0.372    0.124 generic.py:1(<module>)
        1    0.000    0.000    0.368    0.368 display_handler.py:1(<module>)
       21    0.000    0.000    0.367    0.017 exceptions.py:1(<module>)
        2    0.000    0.000    0.366    0.183 databricks_utils.py:1(<module>)
     3950    0.002    0.000    0.364    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
     3950    0.006    0.000    0.362    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
      633    0.002    0.000    0.358    0.001 _docscrape.py:140(__init__)
     4184    0.003    0.000    0.357    0.000 _local.py:539(read_text)
      474    0.002    0.000    0.356    0.001 _array_api.py:840(decorator)
     4184    0.003    0.000    0.354    0.000 _abc.py:628(read_text)
        2    0.000    0.000    0.349    0.174 fluent.py:372(_get_sgc_job_run_id_tag_key)
       30    0.000    0.000    0.349    0.012 databricks_utils.py:123(_get_dbutils)
        2    0.000    0.000    0.349    0.174 databricks_utils.py:1109(get_sgc_job_run_id)
        3    0.001    0.000    0.346    0.115 connection.py:901(_ssl_wrap_socket_and_match_hostname)
      731    0.001    0.000    0.345    0.000 __init__.py:31(message_from_string)
     5205    0.023    0.000    0.344    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
      734    0.003    0.000    0.344    0.000 parser.py:56(parsestr)
     3578    0.115    0.000    0.343    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
        1    0.000    0.000    0.343    0.343 request_utils.py:1(<module>)
      734    0.002    0.000    0.341    0.000 parser.py:41(parse)
        2    0.000    0.000    0.322    0.161 requirements_utils.py:223(_prune_packages)
      880    0.000    0.000    0.320    0.000 requirements_utils.py:201(_get_requires)
      880    0.002    0.000    0.319    0.000 requirements_utils.py:169(_iter_requires)
     1675    0.001    0.000    0.317    0.000 feedparser.py:173(feed)
 1080/350    0.001    0.000    0.317    0.001 requirements_utils.py:207(_get_requires_recursive)
        4    0.000    0.000    0.307    0.077 fluent.py:1(<module>)
        1    0.000    0.000    0.305    0.305 _continuous_distns.py:1(<module>)
     2409    0.002    0.000    0.299    0.000 feedparser.py:178(_call_parse)
     2409    0.061    0.000    0.297    0.000 feedparser.py:218(_parsegen)
      148    0.002    0.000    0.284    0.002 _model_construction.py:84(__new__)
        1    0.000    0.000    0.282    0.282 builtin.py:1(<module>)
      352    0.000    0.000    0.281    0.001 __init__.py:1023(requires)
        1    0.000    0.000    0.281    0.281 compat.py:37(_resolve_char_detection)
        1    0.000    0.000    0.281    0.281 pyplot.py:1621(subplots)
        1    0.000    0.000    0.279    0.279 relevance_to_query.py:1(<module>)
        1    0.000    0.000    0.278    0.278 rcsetup.py:1(<module>)
15084/15083    0.003    0.000    0.271    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
        1    0.000    0.000    0.270    0.270 pyplot.py:871(figure)
        1    0.000    0.000    0.270    0.270 pyplot.py:548(new_figure_manager)
      633    0.007    0.000    0.266    0.000 _docscrape.py:388(_parse)
        8    0.000    0.000    0.265    0.033 context.py:1(<module>)
        1    0.000    0.000    0.265    0.265 pyplot.py:1(<module>)
       14    0.000    0.000    0.253    0.018 parallel.py:1670(_get_outputs)
     3580    0.251    0.000    0.251    0.000 {built-in method _io.open_code}
      150    0.004    0.000    0.250    0.002 _model_construction.py:600(complete_model_class)
      352    0.000    0.000    0.249    0.001 __init__.py:679(requires)
        3    0.000    0.000    0.244    0.081 signature.py:1(<module>)
      352    0.001    0.000    0.243    0.001 __init__.py:685(_read_dist_info_reqs)
        1    0.000    0.000    0.242    0.242 colors.py:1(<module>)
        2    0.000    0.000    0.231    0.115 parallel.py:1969(__call__)
        1    0.000    0.000    0.229    0.229 embed.py:1(<module>)
     5352    0.002    0.000    0.228    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
     5832    0.003    0.000    0.227    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
     3578    0.227    0.000    0.227    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.225    0.225 iterative.py:1(<module>)
        1    0.000    0.000    0.223    0.223 train_model.py:119(load_data)
       16    0.000    0.000    0.223    0.014 _base.py:1(<module>)
        4    0.000    0.000    0.223    0.056 readers.py:868(read_csv)
        4    0.002    0.001    0.223    0.056 readers.py:583(_read)
       10    0.000    0.000    0.222    0.022 __init__.py:704(__getattr__)
     1767    0.003    0.000    0.221    0.000 __init__.py:1023(read_text)
        2    0.000    0.000    0.220    0.110 parallel.py:1403(_terminate_and_reset)
        2    0.000    0.000    0.220    0.110 _parallel_backends.py:711(terminate)
        2    0.001    0.001    0.219    0.110 _memmapping_reducer.py:667(_clean_temporary_resources)
    48110    0.117    0.000    0.219    0.000 _local.py:257(_parse_path)
       20    0.000    0.000    0.216    0.011 connection.py:182(send_bytes)
       20    0.000    0.000    0.216    0.011 connection.py:406(_send_bytes)
        8    0.000    0.000    0.216    0.027 models.py:1(<module>)
       30    0.000    0.000    0.216    0.007 connection.py:381(_send)
        4    0.000    0.000    0.215    0.054 readers.py:1907(read)
     4767    0.162    0.000    0.215    0.000 {built-in method _io.open}
        1    0.000    0.000    0.215    0.215 _parallel_backends.py:1(<module>)
        2    0.003    0.001    0.214    0.107 disk.py:102(delete_folder)
       10    0.001    0.000    0.212    0.021 __init__.py:999(entry_points)
        2    0.000    0.000    0.212    0.106 executor.py:1(<module>)
        1    0.000    0.000    0.211    0.211 _memmapping_reducer.py:1(<module>)
     2680    0.001    0.000    0.208    0.000 __init__.py:1008(<genexpr>)
        1    0.000    0.000    0.207    0.207 litellm_adapter.py:1(<module>)
    48108    0.019    0.000    0.206    0.000 _local.py:277(_raw_path)
     4184    0.002    0.000    0.205    0.000 _local.py:529(open)
        1    0.000    0.000    0.204    0.204 _linprog.py:1(<module>)
13053/12403    0.005    0.000    0.204    0.000 {built-in method builtins.next}
        2    0.000    0.000    0.202    0.101 applications.py:1(<module>)
        1    0.000    0.000    0.201    0.201 backend_bases.py:3497(new_figure_manager)
        2    0.000    0.000    0.201    0.100 _classes.py:1(<module>)
        1    0.000    0.000    0.200    0.200 backend_bases.py:3506(new_figure_manager_given_figure)
        1    0.000    0.000    0.200    0.200 backend_bases.py:1774(new_manager)
        1    0.113    0.113    0.200    0.200 backend_bases.py:2648(create_with_canvas)
        4    0.188    0.047    0.196    0.049 c_parser_wrapper.py:222(read)
        9    0.000    0.000    0.196    0.022 config.py:1(<module>)
        1    0.000    0.000    0.195    0.195 calibration.py:1(<module>)
     8680    0.022    0.000    0.193    0.000 textwrap.py:419(dedent)
        1    0.000    0.000    0.191    0.191 _cloudpickle_wrapper.py:1(<module>)
        1    0.000    0.000    0.188    0.188 _classification_threshold.py:1(<module>)
        3    0.000    0.000    0.187    0.062 connection.py:540(getresponse)
        3    0.000    0.000    0.187    0.062 connection.py:424(request)
       98    0.000    0.000    0.183    0.002 utils.py:265(is_multi_byte_encoding)
    27289    0.166    0.000    0.183    0.000 <frozen posixpath>:72(join)
        1    0.000    0.000    0.183    0.183 Image.py:1(<module>)
     2404    0.001    0.000    0.180    0.000 __init__.py:488(entry_points)
        3    0.000    0.000    0.177    0.059 application.py:1(<module>)
      332    0.003    0.000    0.174    0.001 validation.py:725(check_array)
       26    0.002    0.000    0.170    0.007 reduction.py:204(dump)
        2    0.000    0.000    0.170    0.085 frame.py:1(<module>)
       13    0.000    0.000    0.170    0.013 validation.py:2793(validate_data)
        2    0.000    0.000    0.167    0.084 hashing.py:1(<module>)
        1    0.000    0.000    0.165    0.165 prompt_version.py:1(<module>)
        2    0.000    0.000    0.164    0.082 _unsupervised.py:1(<module>)
       28    0.000    0.000    0.164    0.006 cloudpickle.py:1311(dump)
        2    0.000    0.000    0.164    0.082 pairwise.py:1(<module>)
        2    0.000    0.000    0.162    0.081 interactiveshell.py:1(<module>)
       10    0.000    0.000    0.160    0.016 reduction.py:210(dumps)
      106    0.002    0.000    0.159    0.001 artist.py:158(_update_set_signature_and_docstring)
    19489    0.012    0.000    0.158    0.000 __init__.py:330(_compile)
     2412    0.004    0.000    0.158    0.000 __init__.py:907(read_text)
       28    0.018    0.001    0.158    0.006 {function Pickler.dump at 0x101191300}
        3    0.000    0.000    0.157    0.052 environment.py:1(<module>)
      105    0.000    0.000    0.156    0.001 artist.py:125(__init_subclass__)
        2    0.000    0.000    0.155    0.078 routing.py:1(<module>)
        8    0.000    0.000    0.153    0.019 plugins.py:8(get_entry_points)
        8    0.000    0.000    0.153    0.019 plugins.py:4(_get_entry_points)
        2    0.001    0.000    0.153    0.076 _support_alternative_backends.py:1(<module>)
    21460    0.005    0.000    0.151    0.000 __init__.py:389(locate)
